Date/Time;Range;Row;Weight (kg);Moisture (%);Test Weight (kg/hL);Secondary Weight (kg);Quick Note;Harvest Sequence
30/07/2026 11.32.23;1;1;18,48;0;73,6;20,43;;4
30/07/2026 11.35.15;2;1;18,59;0;73,5;19,46;;5
30/07/2026 11.49.48;3;1;19,98;0,01;74,8;15,615;;9
30/07/2026 12.04.11;4;1;18,27;0;75,4;15,135;;13
30/07/2026 12.11.14;5;1;18,66;0;74,9;18,495;;17
30/07/2026 12.17.51;6;1;23,53;0,01;76,3;23,06;;21
30/07/2026 12.24.56;7;1;18,77;0,01;71;19,065;;25
30/07/2026 12.31.35;8;1;23,03;0,01;75,1;23,28;;29
30/07/2026 12.42.20;9;1;21,16;0;75,3;21,64;;33
30/07/2026 12.51.21;10;1;24,44;0;76,2;27,225;;37
30/07/2026 12.58.35;11;1;25,31;0;77,2;26,81;;41
30/07/2026 13.05.32;12;1;23,29;0;76,3;22,505;;45
30/07/2026 13.12.11;13;1;23,71;0;76,7;21,47;;49
30/07/2026 13.18.45;14;1;21,25;0;76,2;21,605;;53
30/07/2026 13.25.07;15;1;24,35;0;76,2;26,51;;57
30/07/2026 13.39.07;16;1;21,95;0;72,3;21,865;;61
30/07/2026 11.27.17;1;2;16,31;0;73,6;17,58;;3
30/07/2026 11.41.21;2;2;16,77;0;73,2;18,55;;6
30/07/2026 11.52.55;3;2;16,63;0,01;73,8;14,77;;10
30/07/2026 12.06.33;4;2;14,97;0,01;74,7;13,64;;14
30/07/2026 12.12.47;5;2;19,85;0,01;74,6;24,39;;18
30/07/2026 12.19.44;6;2;23,04;0;76,2;23,56;;22
30/07/2026 12.26.32;7;2;22,49;0,01;75,8;21,89;;26
30/07/2026 12.33.20;8;2;20,81;0;75,9;18,065;;30
30/07/2026 12.45.50;9;2;20,7;0,01;75,9;18,04;;34
30/07/2026 12.53.20;10;2;23,79;0;76,9;22,58;;38
30/07/2026 13.00.28;11;2;24,19;0;76,7;25,435;;42
30/07/2026 13.07.18;12;2;23,59;0;76,3;22,97;;46
30/07/2026 13.13.46;13;2;23,93;0;74,9;24,25;;50
30/07/2026 13.20.28;14;2;22,48;0;76,4;24,15;;54
30/07/2026 13.26.45;15;2;23,01;0;76,3;22,64;;58
30/07/2026 13.40.46;16;2;22;0;76;23,41;;62
30/07/2026 11.20.00;1;3;14,87;0;70,6;19,65;;2
30/07/2026 11.44.55;2;3;15,15;0;73,8;19,19;;7
30/07/2026 11.57.56;3;3;14,18;0;73,9;12,785;;11
30/07/2026 12.08.04;4;3;18,9;0;75,6;15,13;;15
30/07/2026 12.14.23;5;3;22,39;0;75,9;21,425;;19
30/07/2026 12.21.24;6;3;21,23;0,01;75,3;21,155;;23
30/07/2026 12.28.17;7;3;19,73;0,01;75,1;18,535;;27
30/07/2026 12.34.48;8;3;18,82;0;75,7;16,945;;31
30/07/2026 12.47.38;9;3;19,47;0;75,7;18,5;;35
30/07/2026 12.55.02;10;3;21,37;0;76,4;22,585;;39
30/07/2026 13.01.58;11;3;20,67;0;75,9;21,93;;43
30/07/2026 13.08.56;12;3;22,62;0;75,6;22,95;;47
30/07/2026 13.15.19;13;3;21,44;0;76,8;21,575;;51
30/07/2026 13.21.58;14;3;23,04;0;74,8;22,905;;55
30/07/2026 13.28.22;15;3;20,98;0;76,3;20,56;;59
30/07/2026 13.42.10;16;3;20,65;0;75,9;21,575;;63
30/07/2026 11.14.04;1;4;0,48;0;0;17,775;;1
30/07/2026 11.47.36;2;4;18,55;0,01;74,5;16,305;;8
30/07/2026 12.01.23;3;4;16,2;0,01;74,8;16,01;;12
30/07/2026 12.09.28;4;4;19,58;0,01;75,4;16,905;;16
30/07/2026 12.16.16;5;4;22,62;0,01;76,3;22,795;;20
30/07/2026 12.22.58;6;4;21,77;0,01;76,4;22,725;;24
30/07/2026 12.30.02;7;4;16,85;0,01;73,2;18,815;;28
30/07/2026 12.36.28;8;4;19,71;0;75,8;17,88;;32
30/07/2026 12.49.29;9;4;19,89;0,01;75,8;19,79;;36
30/07/2026 12.56.56;10;4;21,69;0;76,7;21,98;;40
30/07/2026 13.03.49;11;4;21,51;0;76,7;23,185;;44
30/07/2026 13.10.40;12;4;20,84;0;76,1;20,755;;48
30/07/2026 13.17.04;13;4;21,55;0;76,8;22,15;;52
30/07/2026 13.23.25;14;4;22,45;0;75,6;22,79;;56
30/07/2026 13.31.10;15;4;21,99;0;76,7;23,215;;60
30/07/2026 13.43.36;16;4;19,9;0;75,8;20,29;;64
