YEAR,tot_prec,tot_heatunits
1993,708.25,2931.55
1994,781.14,3303.72
1995,603.68,3203.5
1996,545.62,2878.8
1997,579.03,3263.66
1998,818.52,3055.81
1999,827.97,3302.7400000000002
2000,737.86,3333.97
2001,753.41,3132.68
2002,831.32,3329.27
2003,575.35,3288.18
2004,765.66,3203.69
2005,613.14,3344.71
2006,763.26,3528.83
2007,905.86,3543.41
2008,730.99,3541.23
2009,673.67,3346.33
2010,774.95,2973.97
2011,769.6,3359.55
2012,626.94,3230.48
2013,560.45,3315.24
2014,673.84,3798.84
2015,784.94,3459.7
2016,542.91,3463.91
2017,743.49,3420.35
2018,471.15,3709.82
2019,696.91,3696.83
2020,703.95,3779.39
2021,851.88,3466.69
2022,684.67,3687.29
2023,929.26,3632.73
2025,682.18,3724.54
