field_id,sea_name,block,plot,trt_name
sexy2,25/26,B1,101,xaprows
sexy2,25/26,B1,102,p
sexy2,25/26,B1,103,xpcc
sexy2,25/26,B1,104,apmix
sexy2,25/26,B1,105,aprows
sexy2,25/26,B1,106,xa
sexy2,25/26,B1,107,xp
sexy2,25/26,B1,108,xacc
sexy2,25/26,B1,109,xapmix
sexy2,25/26,B1,110,pcc
sexy2,25/26,B1,111,acc
sexy2,25/26,B1,112,a
sexy2,25/26,B2,201,apmix
sexy2,25/26,B2,202,aprows
sexy2,25/26,B2,203,xapmix
sexy2,25/26,B2,204,xpcc
sexy2,25/26,B2,205,pcc
sexy2,25/26,B2,206,xa
sexy2,25/26,B2,207,xacc
sexy2,25/26,B2,208,xaprows
sexy2,25/26,B2,209,xp
sexy2,25/26,B2,210,a
sexy2,25/26,B2,211,p
sexy2,25/26,B2,212,acc
sexy2,25/26,B3,301,xacc
sexy2,25/26,B3,302,xpcc
sexy2,25/26,B3,303,p
sexy2,25/26,B3,304,acc
sexy2,25/26,B3,305,xaprows
sexy2,25/26,B3,306,xapmix
sexy2,25/26,B3,307,apmix
sexy2,25/26,B3,308,a
sexy2,25/26,B3,309,pcc
sexy2,25/26,B3,310,aprows
sexy2,25/26,B3,311,xp
sexy2,25/26,B3,312,xa
sexy2,25/26,B4,401,xpcc
sexy2,25/26,B4,402,a
sexy2,25/26,B4,403,xa
sexy2,25/26,B4,404,pcc
sexy2,25/26,B4,405,xaprows
sexy2,25/26,B4,406,acc
sexy2,25/26,B4,407,aprows
sexy2,25/26,B4,408,xp
sexy2,25/26,B4,409,p
sexy2,25/26,B4,410,apmix
sexy2,25/26,B4,411,xacc
sexy2,25/26,B4,412,xapmix
sexy2,26/27,B1,101,p
sexy2,26/27,B1,102,p2
sexy2,26/27,B1,103,oats
sexy2,26/27,B1,104,acc
sexy2,26/27,B1,105,a
sexy2,26/27,B1,106,oats
sexy2,26/27,B1,107,oats
sexy2,26/27,B1,108,oats
sexy2,26/27,B1,109,pcc
sexy2,26/27,B1,110,pcc2
sexy2,26/27,B1,111,oats
sexy2,26/27,B1,112,oats
sexy2,26/27,B2,201,p
sexy2,26/27,B2,202,acc
sexy2,26/27,B2,203,a
sexy2,26/27,B2,204,oats
sexy2,26/27,B2,205,pcc2
sexy2,26/27,B2,206,oats
sexy2,26/27,B2,207,oats
sexy2,26/27,B2,208,pcc
sexy2,26/27,B2,209,oats
sexy2,26/27,B2,210,oats
sexy2,26/27,B2,211,p2
sexy2,26/27,B2,212,oats
sexy2,26/27,B3,301,oats
sexy2,26/27,B3,302,oats
sexy2,26/27,B3,303,p2
sexy2,26/27,B3,304,oats
sexy2,26/27,B3,305,a
sexy2,26/27,B3,306,acc
sexy2,26/27,B3,307,pcc
sexy2,26/27,B3,308,oats
sexy2,26/27,B3,309,pcc2
sexy2,26/27,B3,310,p
sexy2,26/27,B3,311,oats
sexy2,26/27,B3,312,oats
sexy2,26/27,B4,401,oats
sexy2,26/27,B4,402,oats
sexy2,26/27,B4,403,oats
sexy2,26/27,B4,404,pcc2
sexy2,26/27,B4,405,acc
sexy2,26/27,B4,406,oats
sexy2,26/27,B4,407,pcc
sexy2,26/27,B4,408,oats
sexy2,26/27,B4,409,p2
sexy2,26/27,B4,410,a
sexy2,26/27,B4,411,oats
sexy2,26/27,B4,412,p
